SavedAt,VersionFolder,IndexSHA256
"2026-08-14","2026-08-14-initial","E40ADED1ACAE122CA6177DB5B6900B59612AD674BC7797E6D282338A1AD4FA51"
"2026-08-14 15:50:00 -05:00","2026-08-14_1550-pre-recovery","4AC655537AFBDA1C0B3C75CF44B4AF77C5CDFFCECBC9A306508A8F7DB2679FF6"
"2026-08-14 16:10:00 -05:00","2026-08-14_1610-gold-roadmap-recovery","513E0433E0C24ED3911344B6DF056CCCC18B185F810D0FA235CAEB46E80FA37D"
"2026-08-14 16:30:00 -05:00","2026-08-14_1630-before-executive-summary","513E0433E0C24ED3911344B6DF056CCCC18B185F810D0FA235CAEB46E80FA37D"
"2026-08-14 16:40:00 -05:00","2026-08-14_1640-executive-summary","81E0B924776198327F66F50C994834ED735EFF0F14B9A4DDB73E5CE9EE9A7E31"
"2026-08-14 08:07:58 -05:00","2026-08-14_080758","E40ADED1ACAE122CA6177DB5B6900B59612AD674BC7797E6D282338A1AD4FA51"
"2026-08-14 17:00:00 -05:00","2026-08-14_1700-before-weekly-summary-revision","81E0B924776198327F66F50C994834ED735EFF0F14B9A4DDB73E5CE9EE9A7E31"
"2026-08-14 17:10:00 -05:00","2026-08-14_1710-first-week-executive-summary","FDEA3EFDCEF3E6103CF0C1F66B9E0D09511094A5225D0F538AD972802350191A"
"2026-08-14 17:20:00 -05:00","2026-08-14_1720-before-launcher-fix","FDEA3EFDCEF3E6103CF0C1F66B9E0D09511094A5225D0F538AD972802350191A"
"2026-08-14 17:30:00 -05:00","2026-08-14_1730-executive-summary-launcher","FDEA3EFDCEF3E6103CF0C1F66B9E0D09511094A5225D0F538AD972802350191A"
"2026-08-14 17:40:00 -05:00","2026-08-14_1740-executive-summary-launcher-final","FDEA3EFDCEF3E6103CF0C1F66B9E0D09511094A5225D0F538AD972802350191A"
"2026-08-17 07:19:08 -05:00","2026-08-17_071908-before-first-week-summary-rename","FDEA3EFDCEF3E6103CF0C1F66B9E0D09511094A5225D0F538AD972802350191A"
"2026-08-17 07:20:59 -05:00","2026-08-17_072059-first-week-summary-label","132FB45E14EA45B166DAAF162108999AE7034B9D17A6D9A2822A1C0FDFF70D86"
"2026-08-17 07:29:06 -05:00","2026-08-17_072906-before-rad-ai-test-plan","132FB45E14EA45B166DAAF162108999AE7034B9D17A6D9A2822A1C0FDFF70D86"
"2026-08-17 07:38:14 -05:00","2026-08-17_073814-rad-ai-proposed-test-plan","F72FE6FD31B6184465F33ACE7DBFAAFFF9E5158B693FA702ADE95D1282723015"
"2026-08-17 08:57:08 -05:00","2026-08-17_085708-before-pacs-post-swap-validation-plan","F72FE6FD31B6184465F33ACE7DBFAAFFF9E5158B693FA702ADE95D1282723015"
"2026-08-17 09:01:34 -05:00","2026-08-17_090134-pacs-post-swap-validation-plan","7B4A13B7EEDB8AEAE52994BB096476A4E55F4FCF2BF4F9B76C10A2DFE41D60E8"
"2026-08-17 09:31:32 -05:00","2026-08-17_093132-before-altamont-passport-sr-project","7B4A13B7EEDB8AEAE52994BB096476A4E55F4FCF2BF4F9B76C10A2DFE41D60E8"
"2026-08-17 09:36:04 -05:00","2026-08-17_093604-altamont-passport-sr-project","D6E62A5258331FC58F2869BC62633C8E17893E265AA2AAEE07097D6C90DD1C30"
"2026-08-17 09:20:35 -05:00","2026-08-17_092035","7B4A13B7EEDB8AEAE52994BB096476A4E55F4FCF2BF4F9B76C10A2DFE41D60E8"
"2026-08-17 10:05:00 -05:00","2026-08-17_1005-before-pacs-weekly-status-update","D6E62A5258331FC58F2869BC62633C8E17893E265AA2AAEE07097D6C90DD1C30"
"2026-08-17 10:09:06 -05:00","2026-08-17_100906-pacs-weekly-status-update","D130FF43E0B1D890281529DCD3EA5D40A8FE64C15BF2130AA960383740D65BFC"
"2026-08-17 10:15:00 -05:00","2026-08-17_1015-before-merge-pacs-server-transition","D130FF43E0B1D890281529DCD3EA5D40A8FE64C15BF2130AA960383740D65BFC"
"2026-08-17 10:22:24 -05:00","2026-08-17_102224-merge-pacs-server-transition","1DF8118A720EC00D3829A312A643F575808A5F908A32E2DC3C4D822819EDDD4A"
"2026-08-17 13:09:22 -05:00","2026-08-17_130922-before-support-section","5BE9D803F3F2B4824EE49106517DC8645456B80DFACA5C57254D04078D302932"
"2026-08-17 13:11:33 -05:00","2026-08-17_131133-support-section","843BBF6E94784BABBE6AAAC7471BE5876928AB84BD64AEB9EBCC5183D2CC926A"
